ID,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WL_HOME
39356,0.529,0.333,0.667,13,28,41,23,6,9,8,25.0,14,0.473,0.538,0.839,8,26,34,14,4,0,10,26.0,-14,W
39357,0.423,0.231,0.5,9,34,43,19,5,4,18,20.0,-25,0.494,0.4,0.588,9,33,42,29,11,6,10,13.0,25,L
39358,0.427,0.4,0.727,11,33,44,21,2,10,17,19.0,-6,0.385,0.333,0.824,17,31,48,22,11,3,7,18.0,6,L
39359,0.379,0.25,0.684,18,26,44,20,7,10,13,25.0,-5,0.431,0.182,0.862,10,32,42,14,9,6,16,25.0,5,L
39360,0.452,0.238,0.778,11,33,44,17,5,6,18,23.0,13,0.376,0.154,0.813,12,28,40,18,11,3,16,28.0,-13,W
39361,0.405,0.455,0.833,6,28,34,24,11,7,15,17.0,-17,0.429,0.389,0.64,19,40,59,26,8,8,19,16.0,17,L
39362,0.423,0.24,0.839,9,23,32,17,10,2,9,24.0,7,0.446,0.429,0.733,11,33,44,22,6,3,21,29.0,-7,W
39363,0.408,0.077,0.833,7,26,33,22,6,5,17,26.0,-15,0.5,0.333,0.762,7,27,34,28,8,4,14,18.0,15,L
39364,0.524,0.5,0.769,11,29,40,26,6,6,12,24.0,11,0.488,0.308,0.788,12,24,36,18,10,4,12,22.0,-11,W
39365,0.5,0.455,0.778,14,25,39,36,9,7,16,30.0,-4,0.442,0.385,0.813,23,27,50,24,9,5,16,21.0,4,L
39366,0.522,0.5,0.8,7,24,31,27,4,4,20,24.0,-9,0.519,0.5,0.68,13,21,34,31,9,7,13,24.0,9,L
39367,0.516,0.444,0.833,14,35,49,26,5,4,10,28.0,25,0.407,0.333,0.692,16,29,45,14,5,5,13,17.0,-25,W
39368,0.41,0.353,0.529,13,27,40,24,11,6,17,20.0,1,0.378,0.375,0.731,17,30,47,23,11,8,18,18.0,-1,W
39369,0.507,0.429,0.71,13,25,38,23,8,6,21,23.0,-5,0.488,0.4,0.727,13,22,35,21,14,0,17,23.0,5,L
